city,hotel_name,address,rating,review_count,price
Delhi,Hotel O J P Inn Near Patel Nagar Metro Station,"Near Patel Nagar Metro, Block 1, Delhi",4.1,214,₹1394
Delhi,Townhouse Hotel Lotus Palace,"Near CR Park Market 1, Govindpuri Extension, Delhi",3.5,69,₹1084
Delhi,Super Collection O Lotus Bed & Breakfast,"L-2,  1st Floor, B Block, Near Kabootar Chowk, C R Park Near CR Park Market 1, Pamposh Enclave, Delhi",4.8,94,₹1066
Delhi,Hotel O The Moon,"New Delhi , Delhi",5,5,
Delhi,Hotel O Kalkaji Residency Bnb Near Lotus Temple,"Near Govind Puri Metro Station, Delhi",4.6,842,₹840
Delhi,Collection O by OYO Ramhan,"Near Patel Nagar Metro Station, East Patel Nagar, Delhi",4.3,140,₹2137
Delhi,Super Collection O Hamilton Hotel,"Panchsheel Park South, Delhi",4.2,580,₹2104
Delhi,Townhouse Karol Bagh Formerly Hotel Unistar,"Near Faiz Road, Karol Bagh, Delhi",4.4,631,₹1680
Delhi,Super Hotel Delhi Darbar,"Near Karol Bagh, WEA, Delhi",4.9,1423,₹750
Delhi,Super Hotel O Gem 92,"Near Kalkaji Mandir Metro Station, Delhi",4,1125,₹1081
Delhi,Palette Hotel Cotts Villa Vasant Kunj New Delhi,"Bhawani Kunj, Delhi",4.5,39,₹2240
Delhi,Super Hotel O Grand Peepal,"Near Karol Bagh metro, WEA, Delhi",4.7,130,₹1022
Delhi,Townhouse Arakashan Road Paharganj Formerly Mohan international,"Near New Delhi Railway Station, Delhi",4.6,2461,₹1111
Delhi,Hotel O by OYO HERITAGE RESIDENCY,"Near Deshbandhu College Bus Stand, Kalkaji, Delhi",4.4,4,₹812
Delhi,Hotel O by OYO Prachi villa,"Near GTB nagar metro station, Delhi",,,
Delhi,Super Townhouse Sunrise Villa,"Near Deshbandhu College, Kalkaji, Delhi",4.4,226,₹1084
Delhi,Hotel O Delhi Continental,"Near new delhi Railway stn, multani dhanda, Delhi",3.7,6,
Delhi,Hotel O BalaG,"Paharganj, Delhi",2,6,
Delhi,Super Townhouse Hotel City Castle,"Near Karol Bagh, Nai Walan, Delhi",4,452,₹1119
Delhi,Hotel O Aura Palace Deluxe,"New Delhi-110055, Delhi",3.9,565,₹611
Delhi,Hotel O by OYO F FIVE,Near Kailash Colony Metro Station,4,1,
Delhi,Hotel O Sweet Palace,"Plot no.63 A Bhati nivas  Near epitome lorence hospital khazirabad New friends colony, Delhi",4.9,243,₹769
Delhi,Super Hotel O Paharganj,"8572 Arakashan Road, Pahar Ganj , New Delhi 110055",4.4,1096,₹1000
Delhi,Hotel O Hotel Landmark Inn,Near Karol Bagh Metro Station,4.6,822,₹888
Delhi,Hotel O The Sterling New Delhi railway station,"Paharganj, Delhi",4.7,2,
Delhi,Townhouse 094 HOTEL MORO,"Near Peera Garhi Metro Station, Delhi",4.3,221,₹1295
Delhi,Hotel O Discovery Inn,"Near Jasola Vihar, Madanpur Khadar Village, Delhi",3.6,19,₹809
Delhi,Hotel O S Deluxe,"Paharganj, Delhi",4.2,19,
Delhi,Hotel O Merry Gold,"Near Rk Ashram Metro, Pahar Ganj, Delhi",3.8,13,₹1168
Delhi,Super Townhouse Rohini Sector 18 Formerly Relic Stay,"Near Samaypur Badli, Pocket 1, Delhi",4.8,1445,₹1058
Delhi,Super HOTEL O DREAM TOWN,"Near Aero City, Mahipalpur Extension, Delhi",4.8,686,₹654
Delhi,Hotel O 3bs House Dx,"Karol Bagh, Delhi",3.5,30,
Delhi,Townhouse South Valley,"Near Iskcon Temple, kailash , Delhi",4.7,258,
